id,soldOut,orderEnabled,hidden
sentoku-dream,false,true,false
miyanomatsu-omachi,false,true,false
shikishima-usunigori,false,true,false
gakki-alterna-sorachi-nelson,false,true,false
matsuo-iizuna-kimoto,false,true,false
sakuyabi-14,false,true,false
roman-wadaya,false,true,false
yokoyama-white-usunigori,false,true,false
kazenomori-alpha1,false,true,false
hanakaze-rice-hop,false,true,false
haneya-hattan,false,true,false
urazato-prototype6,false,true,false
iraka-ginkuro-hitogokochi,false,true,false
yamasan-yamada,false,true,false
sara-vesper,false,true,false
ryozeki-wadaya-omachi,false,true,false
kenichiro-kimoto,false,true,false
cute-face-wrong-angle,false,true,false
wadaya-tanuki,false,true,false
ryozeki-wadaya-omachi-2026,false,true,false
takachiyo-cherry,false,true,false
kid-shibatas-be-ambitious,false,true,false
kuroushi-muroka-nama,false,true,false
kamonishiki-ginsen-tanrei,false,true,false
ubusuna-yamada-nishiki-2025,false,true,false
kokken-mutan,false,true,false
sanrensei-white-origarami,false,true,false
hodenasu-junmai-nama-genshu,false,true,false
